"Category","Annual Mean","5-yr smooth"
1901,28.73,28.79
1902,28.95,28.68
1903,28.28,28.57
1904,28.22,28.48
1905,28.48,28.42
1906,29.07,28.39
1907,28.55,28.41
1908,28.11,28.45
1909,28.14,28.52
1910,28.57,28.59
1911,28.47,28.65
1912,29.03,28.69
1913,28.34,28.69
1914,29.19,28.67
1915,29.2,28.64
1916,28.42,28.59
1917,27.71,28.55
1918,28.46,28.51
1919,28.95,28.48
1920,28.25,28.46
1921,28.53,28.46
1922,28.65,28.48
1923,28.75,28.52
1924,28.28,28.58
1925,28.2,28.64
1926,28.98,28.68
1927,28.6,28.69
1928,29.13,28.67
1929,28.29,28.62
1930,28.67,28.55
1931,28.3,28.49
1932,28.65,28.46
1933,28.37,28.46
1934,28.43,28.52
1935,28.56,28.59
1936,28.82,28.68
1937,28.74,28.74
1938,29.14,28.78
1939,28.33,28.77
1940,29.01,28.73
1941,28.22,28.67
1942,28.79,28.6
1943,28.37,28.54
1944,28.74,28.5
1945,28.56,28.47
1946,28.47,28.44
1947,28.35,28.41
1948,28.57,28.38
1949,27.92,28.32
1950,27.95,28.26
1951,28.5,28.2
1952,28.38,28.16
1953,28.45,28.15
1954,28.34,28.2
1955,27.95,28.29
1956,27.6,28.41
1957,29.05,28.53
1958,28.78,28.64
1959,28.95,28.69
1960,28.04,28.7
1961,29.05,28.66
1962,28.71,28.6
1963,28.42,28.54
1964,28.5,28.51
1965,29.06,28.52
1966,28.14,28.56
1967,28.65,28.61
1968,28.05,28.65
1969,28.81,28.66
1970,28.71,28.61
1971,28.34,28.51
1972,29.09,28.4
1973,28.67,28.3
1974,27.62,28.25
1975,28.31,28.27
1976,28.15,28.37
1977,28.76,28.51
1978,28.1,28.66
1979,28.95,28.8
1980,29.43,28.87
1981,28.73,28.87
1982,28.86,28.81
1983,28.74,28.73
1984,28.1,28.64
1985,28.78,28.59
1986,28.69,28.6
1987,28.64,28.65
1988,29.21,28.72
1989,28.29,28.81
1990,28.93,28.87
1991,29.3,28.9
1992,28.42,28.89
1993,28.67,28.85
1994,29.21,28.8
1995,28.45,28.75
1996,29.02,28.72
1997,28.64,28.72
1998,29.07,28.74
1999,28.69,28.78
2000,28.21,28.84
2001,28.55,28.91
2002,29.72,29
2003,29.15,29.09
2004,29.08,29.16
2005,29.59,29.2
2006,28.96,29.19
2007,29.08,29.11
2008,28.83,29
2009,29.31,28.89
2010,28.15,28.81
2011,28.39,28.81
2012,29.11,28.93
2013,29.98,29.15
2014,29.76,29.42
2015,29.46,29.68
2016,29.3,29.89
2017,29.8,29.99
2018,29.9,29.95
2019,30.27,29.79
2020,29.67,29.55